rank,handle,title,url,ranking_window,ranking_sessions,sessions_90d,add_to_carts_90d,reached_checkout_90d,completed_checkout_90d,ga_sessions_28d,ga_add_to_carts_28d,purchases_28d,revenue_28d,clicks_28d,impressions_28d,avg_position,buying_intent_score,intent_source,measured_intent_score,intent_query_support,well_supported,top_query_intent,striking_distance_queries,opportunity_score,has_product_link,has_shop_block,has_existing_path,updated_at,edited_after_window,product_link_count,collection_link_count,search_link_count,index_link_count,paragraph_count,word_count,is_published,signals_cached,top_queries
56,how-to-size-a-walking-cane-guide,How to Size a Walking Cane: The Only Guide You'll Ever Need,https://www.canesgalore.com/blogs/news/how-to-size-a-walking-cane-guide,90d,37,37.0,0.0,0.0,0.0,0,0,0,0.0,13,1209,21.35,0.463,measured,0.463,147,True,0.9,11,17.1,True,False,False,2026-09-11,True,6,0,0,0,18,1117,True,True,cane height for 6 foot man | cane length by height | length of cane for height | walking canes for men | strength standardswalking sticks
57,walking-canes-the-complete-buyers-guide,Walking Canes: The Complete Buyer's Guide,https://www.canesgalore.com/blogs/news/walking-canes-the-complete-buyers-guide,90d,25,25.0,0.0,0.0,0.0,0,0,0,0.0,2,119,9.61,0.681,measured,0.681,33,True,0.9,5,17.0,True,False,False,2026-07-30,False,8,13,0,0,26,1174,True,True,walking canes for men | how to buy a cane | which cane handle is best | folding cane for travel | folding cane shoppers drug mart
58,how-to-choose-the-right-walking-cane-for-your-lifestyle-and-needs,How to Choose the Right Walking Cane for Your Lifestyle and Needs,https://www.canesgalore.com/blogs/news/how-to-choose-the-right-walking-cane-for-your-lifestyle-and-needs,90d,30,30.0,0.0,0.0,0.0,0,0,0,0.0,3,383,14.33,0.537,measured,0.537,207,True,1.0,25,16.1,True,False,False,2026-09-11,True,0,4,0,0,51,2560,True,True,walking stick | walking canes | cane | walking cane | canes
59,top-10-stylish-walking-canes,Top 10 Stylish Walking Canes for 2025: Elevate Your Style with Canes Galore,https://www.canesgalore.com/blogs/news/top-10-stylish-walking-canes,90d,25,25.0,0.0,0.0,0.0,0,0,0,0.0,3,237,8.35,0.639,measured,0.639,32,True,0.9,15,16.0,True,False,False,2026-07-23,False,16,0,0,0,41,1069,True,True,best walking canes | best walking cane | cane for tall person | canes for tall people | canes galore reviews
60,the-cane-isn-t-the-concession-it-s-the-comeback,The Cane Isn’t the Concession. It’s the Comeback.,https://www.canesgalore.com/blogs/news/the-cane-isn-t-the-concession-it-s-the-comeback,90d,52,52.0,0.0,0.0,0.0,0,0,0,0.0,16,917,4.1,0.299,measured,0.299,186,True,0.9,15,15.5,True,False,False,2026-07-30,False,8,6,0,0,35,827,True,True,amy sedaris | david sedaris | gretchen sedaris | why does amy sedaris use a cane | amy sedaris cane
61,the-complete-walking-sticks-guide-for-seniors-confidence-independence-and-adventure-await,"The Complete Walking Sticks Guide for Seniors: Confidence, Independence, and Adventure Await",https://www.canesgalore.com/blogs/news/the-complete-walking-sticks-guide-for-seniors-confidence-independence-and-adventure-await,90d,39,39.0,1.0,1.0,0.0,0,0,0,0.0,0,0,0.0,0.398,measured,0.398,559,True,1.0,74,15.5,True,False,False,2026-09-11,True,0,4,0,0,45,2335,False,True,wandelstokken | walking sticks | walking sticks for women | bastones para andar personas mayores | canne de marche
62,veteran-walking-canes,Walking Sticks: The Complete Guide,https://www.canesgalore.com/blogs/news/veteran-walking-canes,90d,26,26.0,0.0,0.0,0.0,0,0,0,0.0,2,73,12.62,0.598,measured,0.598,8,True,0.9,3,15.5,True,False,False,2026-09-11,True,0,4,0,0,81,3623,True,True,premium walking canes | wood | high quality walking canes | traditional walking sticks | mens modern walking sticks
63,complete-guide-to-walking-sticks,"The Complete Guide to Walking Sticks: How to Choose, Style, and Own Every Step",https://www.canesgalore.com/blogs/news/complete-guide-to-walking-sticks,90d,29,29.0,1.0,0.0,0.0,0,0,0,0.0,9,486,11.33,0.484,measured,0.484,36,True,0.9,15,14.0,True,False,False,2026-09-11,True,10,0,0,1,22,1340,True,True,types of walking sticks | different types of walking sticks | walking stick types | walking stick type | alcance
64,walking-canes-ultimate-buyers-guide,Walking Canes: The Ultimate Buyer's Guide for 2026,https://www.canesgalore.com/blogs/news/walking-canes-ultimate-buyers-guide,90d,27,27.0,0.0,0.0,0.0,0,0,0,0.0,1,170,9.03,0.515,measured,0.515,9,True,0.9,2,13.9,True,False,False,2026-09-11,True,11,0,0,1,24,1364,True,True,how much is a cane | walking cane cost | best walking canes 2026 | will they come back | lugger
65,hiking-staffs-explore-outdoors-sturdy,A Guide to Hiking Staffs & Walking Sticks,https://www.canesgalore.com/blogs/news/hiking-staffs-explore-outdoors-sturdy,90d,26,26.0,0.0,0.0,0.0,0,0,0,0.0,1,801,28.9,0.478,measured,0.478,124,True,0.9,17,12.4,True,False,False,2026-09-11,True,0,1,0,0,25,1044,True,True,are staffs good for walking | walking sticks | walking stick | hiking sticks | how to choose hiking poles
66,walking-sticks-for-hiking-guide,Walking Sticks for Hiking: The Ultimate Guide to Trail Confidence,https://www.canesgalore.com/blogs/news/walking-sticks-for-hiking-guide,90d,32,32.0,0.0,0.0,0.0,0,0,0,0.0,2,257,17.98,0.329,measured,0.329,3,True,0.5,1,10.5,True,False,False,2026-09-11,True,0,4,0,0,43,3144,True,True,"walking sticks for countryside walks | what makes a good hiking staff | ""easily traverse rocky ground and marshy bogs"""
67,how-to-properly-use-a-walking-cane,"Using a Walking Cane: A Guide to Mobility, Style, and Independence",https://www.canesgalore.com/blogs/news/how-to-properly-use-a-walking-cane,90d,29,29.0,0.0,0.0,0.0,0,0,0,0.0,1,260,31.77,0.331,measured,0.331,231,True,0.9,5,9.6,False,False,False,2026-09-11,True,0,0,0,0,11,634,True,True,"walking with a cane | how to use a cane | walking with cane | when a person is ambulating with a cane, which side should the cane be on? their weak side any side is good the opposite side from you their strong side | how to use a quad cane"
68,hike-further-hike-stronger-your-handbook-to-hiking-poles,"Hike Further, Hike Stronger: Your Handbook to Hiking Poles",https://www.canesgalore.com/blogs/news/hike-further-hike-stronger-your-handbook-to-hiking-poles,90d,33,33.0,0.0,0.0,0.0,0,0,0,0.0,0,19,15.05,0.232,measured,0.232,18,True,0.8,2,7.7,False,False,False,2026-03-29,False,0,0,0,0,31,726,True,True,difference between rucking and hiking | how about uphill | how to use hiking sticks correctly | how to use walking sticks | folding walking stick
